Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
"אזור רחובות מ""א 30",1898,,4,המרכז,44,רחובות,441,30,מועצה אזורית גזר,,,,,,,,,530,,1843064140,,,,2024,,ללא שיוך לאשכול,5530,גזר,3
"אזור רחובות מ""א 31",1901,,4,המרכז,44,רחובות,441,31,מועצה אזורית נחל שורק,,,,,,,,,530,,1832063450,,,,2024,,אשכול רשויות שורק דרומי,5531,נחל שורק,3
"אזור רחובות מ""א 32",1897,,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,,,,,,,,,530,,1745063800,,,,2024,,ללא שיוך לאשכול,5532,גדרות,3
"אזור רחובות של""ש",1902,,4,המרכז,44,רחובות,441,,חסר מעמד מוניציפלי,,,,,,,,,530,,1721064500,,,,2024,,ללא שיוך לאשכול,,,4
"אזור רמלה מ""א 25",1892,,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,5525,חבל מודיעין,3
"אזור רמלה מ""א 30",1891,,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,,,,,,,,,530,,1891064330,,,,2024,,ללא שיוך לאשכול,5530,גזר,3
"אזור רמלה מ""א 40",1893,,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,,,,,,,,,530,,1865065340,,,,2024,,ללא שיוך לאשכול,5540,שדות דן,3
"אזור רמלה של""ש",1894,,4,המרכז,43,רמלה,432,,חסר מעמד מוניציפלי,,,,,,,,,530,,1850065140,,,,2024,,ללא שיוך לאשכול,,,4
"אזור רמת גן של""ש",1908,,5,תל אביב,52,תל אביב,512,,חסר מעמד מוניציפלי,,,,,,,,,530,,1864066110,,,,2024,,ללא שיוך לאשכול,,,4
"אזור שפרעם מ""א 56",1841,,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,,,,,,,,,530,,2266075010,,,,2024,,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
"אזור שפרעם מ""א 9",1840,,2,הצפון,24,עכו,241,9,מועצה אזורית עמק יזרעאל,,,,,,,,,530,,2179074200,,,,2024,,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
"אזור שפרעם של""ש",1842,,2,הצפון,24,עכו,241,,חסר מעמד מוניציפלי,,,,,,,,,530,,2183074930,,,,2024,,ללא שיוך לאשכול,,,4
"אזור תל אביב של""ש",1905,,5,תל אביב,51,תל אביב,511,,חסר מעמד מוניציפלי,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,,,4
אזור תעסוקה משגב(תרדיון),1724,,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,241,,,,,,,,520,,225881752491,286,205,10004513,2024,,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
"אזור תעשיה אכסאל מ""א 9",1865,,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,,,,,,,,530,,2325072360,,,,2024,,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אזור תעשייה אכזיב (מילואות),1726,,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,,,,,,,,520,,210529774643,9,201,10004302,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
אזור תעשייה הר-טוב,1701,,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,,,,,,,,520,,198585630263,235,151,15000597,2024,,ללא שיוך לאשכול,5526,מטה יהודה,3
אזור תעשייה נעמן (מילואות),1727,,2,הצפון,24,עכו,246,4,מועצה אזורית מטה אשר,241,,,,,,,,520,,209148754135,7,201,10004315,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
אחווה,1157,AHAWA,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,383,345,345,,38,1976,350,,178217627967,61,616,10001821,2024,Ahawa,אשכול רשויות שורק דרומי,5533,באר טוביה,3
אחוזם,821,AHUZZAM,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,555,515,513,2,40,1950,310,2,178225606879,169,634,10001813,2024,Ahuzzam,ללא שיוך לאשכול,5550,לכיש,3
אחוזת ברק,1330,AHUZZAT BARAQ,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,"2,460","2,451","2,451",,9,1998,190,19,231994727628,156,254,10004394,2024,Ahuzzat Baraq,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אחיהוד,785,AHIHUD,2,הצפון,24,עכו,246,4,מועצה אזורית מטה אשר,241,1,"1,150","1,111","1,110",1,39,1950,310,1,216524756989,47,201,10004315,2024,Ahihud,אשכול רשויות גליל מערבי,5504,מטה אשר,3
אחיטוב,850,AHITUV,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,141,1,"1,782","1,086","1,086",,696,1951,310,1,199331699340,42,409,15000060,2024,Ahituv,ללא שיוך לאשכול,5516,עמק חפר,3
אחיסמך,804,AHISAMAKH,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,"1,399","1,377","1,376",1,22,1950,310,1,191420649216,69,424,10002261,2024,Ahisamakh,ללא שיוך לאשכול,5525,חבל מודיעין,3
אחיעזר,797,AHI'EZER,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,133,1,"2,335","2,308","2,306",2,27,1950,191,2,187937654418,40,425,10002261,2024,Ahi'ezer,ללא שיוך לאשכול,5540,שדות דן,3
אטרש (שבט),965,ATRASH,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,194000575200,,699,,2024,Atrash,ללא שיוך לאשכול,,,4
איבים,338,IBBIM,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,575,575,575,,,1991,340,,162977604769,89,651,10001829,2024,Ibbim,אשכול רשויות נגב מערבי,5537,שער הנגב,3
אייל,716,EYAL,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,141,1,639,620,620,,19,1949,330,15,198268679825,76,417,10004769,2024,Eyal,אשכול רשויות השרון,5520,דרום השרון,3
איילת השחר,77,AYYELET HASHAHAR,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,"1,105","1,056","1,054",2,49,1918,330,15,254188769903,170,253,10004540,2024,Ayyelet HaShahar,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
אילון,294,ELON,2,הצפון,24,עכו,244,4,מועצה אזורית מטה אשר,,1,"1,243","1,215","1,204",11,28,1938,330,15,220615774234,289,201,10004302,2024,Elon,אשכול רשויות גליל מערבי,5504,מטה אשר,3
אילון תבור*,1716,,2,הצפון,23,יזרעאל,233,9,מועצה אזורית עמק יזרעאל,,,,,,,,,520,,234327726752,230,254,10004394,2024,,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אילות,1126,ELOT,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,418,332,330,2,86,1962,330,15,196047388208,69,608,10001955,2024,Elot,אשכול רשויות נגב מזרחי,5553,חבל אילות,3
אילנייה,49,ILANIYYA,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,527,522,517,5,5,1902,310,10,238470739984,236,206,10004552,2024,Ilaniyya,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
אילת,2600,ELAT,6,הדרום,62,באר שבע,625,0,עירייה,,1,"56,004","53,200","49,887","3,313","2,804",1951,150,,194135385051,163,602,10001955,2024,Elat,ללא שיוך לאשכול,2600,אילת,1
אירוס,1336,IRUS,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,143,1,"1,135","1,127","1,127",,8,2013,370,,179008648533,46,456,15002488,2024,Irus,ללא שיוך לאשכול,5527,גן רווה,3
איתמר,3762,ITAMAR,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,"1,759","1,742","1,741",1,17,1984,370,11,229214675568,613,710,15004488,2024,Itamar,אשכול יהודה ושומרון,5572,שומרון,3
איתן,37,ETAN,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,,1,936,887,887,,49,1955,310,2,176145608986,156,631,10001813,2024,Etan,ללא שיוך לאשכול,5534,שפיר,3
איתנים,886,ETANIM,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,54,54,48,6,,1952,340,,209160631764,751,151,15000597,2024,Etanim,ללא שיוך לאשכול,5526,מטה יהודה,3
אכסאל,478,IKSAL,2,הצפון,23,יזרעאל,237,99,מועצה מקומית,,2,"15,134","15,107",3,"15,104",27,,270,,230718731912,126,257,15002472,2024,Iksal,אשכול רשויות הגליל והעמקים,478,אכסאל,2
אל -עזי,1339,AL-AZY,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,2,192,192,1,191,,,450,,180995625560,93,632,10001821,2024,Al-Azy,אשכול רשויות שורק דרומי,5535,יואב,3
אל -עריאן,1316,AL-ARYAN,3,חיפה,32,חדרה,323,14,מועצה אזורית מנשה,,2,210,209,,209,1,,450,,212006711532,365,351,10004233,2024,Al-Aryan,אשכול רשויות מישור החוף,5514,מנשה,3
אל -רום,4003,EL-ROM,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,621,592,581,11,29,1971,330,15,272320787405,1049,224,10004579,2024,El-Rom,אשכול רשויות גליל מזרחי,5571,גולן,3
אל סייד,1359,AL SAYYID,6,הדרום,62,באר שבע,623,69,מועצה אזורית אל קסום,342,2,"6,109","6,108",16,"6,092",1,,280,,191786577114,376,624,10001937,2024,Al Sayyid,אשכול רשויות נגב מזרחי,5569,אל קסום,3
אלומה,1145,ALUMMA,6,הדרום,61,אשקלון,611,34,מועצה אזורית שפיר,,1,"1,706","1,706","1,706",,,1965,350,,175758617770,84,631,10001813,2024,Alumma,ללא שיוך לאשכול,5534,שפיר,3
אלומות,330,ALUMMOT,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,482,473,471,2,9,1941,330,15,251519734756,30,214,10004552,2024,Alummot,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
אלון הגליל,1182,ALLON HAGALIL,2,הצפון,23,יזרעאל,237,9,מועצה אזורית עמק יזרעאל,242,1,"1,058","1,047","1,047",,11,1980,310,1,220851740250,200,254,10004497,2024,Allon HaGalil,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אלון מורה,3579,ELON MORE,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,"2,170","2,163","2,163",,7,1979,190,11,231496682306,662,710,15004488,2024,Elon More,אשכול יהודה ושומרון,5572,שומרון,3
אלון שבות,3604,ALLON SHEVUT,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,"3,141","3,110","3,110",,31,1970,190,,212026618052,953,714,15000586,2024,Allon Shevut,ללא שיוך לאשכול,5576,גוש עציון,3
אלוני אבא,429,ALLONE ABBA,2,הצפון,23,יזרעאל,237,9,מועצה אזורית עמק יזרעאל,242,1,911,900,900,,11,1948,320,6,216270737198,149,254,10004411,2024,Allone Abba,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אלוני הבשן,4017,ALLONE HABASHAN,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,512,500,500,,12,1981,320,2,278703772277,962,224,10004579,2024,Allone HaBashan,אשכול רשויות גליל מזרחי,5571,גולן,3
אלוני יצחק,868,ALLONE YIZHAQ,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,96,95,95,,1,1949,340,,200623712932,70,351,10004333,2024,Allone Yizhaq,אשכול רשויות מישור החוף,5514,מנשה,3
אלונים,285,ALLONIM,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,242,1,783,752,752,,31,1938,330,15,213911736162,105,254,10004411,2024,Allonim,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
אלי-עד,4002,ELI-AD,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,593,578,578,,15,1968,310,1,269140745726,367,224,10004579,2024,Eli-Ad,אשכול רשויות גליל מזרחי,5571,גולן,3
אליאב,1365,ELIAV,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,846,844,844,,2,2013,370,,193428604083,361,634,10001813,2024,Eliav,ללא שיוך לאשכול,5550,לכיש,3
אליכין,41,ELYAKHIN,4,המרכז,41,השרון,411,99,מועצה מקומית,141,1,"3,856","3,821","3,819",2,35,1950,190,,193179701567,31,457,10004261,2024,Elyakhin,ללא שיוך לאשכול,41,אליכין,2
אליפז,1248,ELIFAZ,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,208,173,164,9,35,1982,330,15,200783411870,122,608,10001955,2024,Elifaz,אשכול רשויות נגב מזרחי,5553,חבל אילות,3
אליפלט,730,ELIFELET,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,1,809,794,794,,15,1949,310,1,251520761491,334,253,10004540,2024,Elifelet,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
אליקים,682,ELYAQIM,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,943,924,924,,19,1949,310,1,206587726427,229,254,10004411,2024,Elyaqim,אשכול רשויות הגליל והעמקים,5513,מגידו,3
אלישיב,204,ELYASHIV,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,681,672,672,,9,1933,310,7,191718698592,19,409,15000060,2024,Elyashiv,ללא שיוך לאשכול,5516,עמק חפר,3
אלישמע,841,ELISHAMA,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,142,1,"1,229","1,213","1,213",,16,1951,310,1,193423673278,27,417,10002133,2024,Elishama,אשכול רשויות השרון,5520,דרום השרון,3
אלמגור,1125,ALMAGOR,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,541,447,447,,94,1961,310,1,256683757537,-17,214,10004552,2024,Almagor,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
אלמוג,3556,ALMOG,7,אזור יהודה ושומרון,75,ירדן-יריחו,,74,מועצה אזורית מגילות ים המלח,,1,347,326,326,,21,1977,330,15,243781632942,-278,713,10003314,2024,Almog,אשכול יהודה ושומרון,5574,מגילות ים המלח,3
אלעד,1309,EL'AD,4,המרכז,42,פתח תקווה,422,0,עירייה,142,1,"50,845","50,750","50,749",1,95,1998,150,,196051662013,122,422,10002168,2024,El'ad,ללא שיוך לאשכול,1309,אלעד,1
אלעזר,3618,EL'AZAR,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,"2,598","2,592","2,592",,6,1975,190,,213468618749,926,714,15000586,2024,El'azar,ללא שיוך לאשכול,5576,גוש עציון,3
אלפי מנשה,3750,ALFE MENASHE,7,אזור יהודה ושומרון,73,טול כרם,,99,מועצה מקומית,145,1,"8,038","8,013","8,011",2,25,1983,180,,201453675588,185,703,15004488,2024,Alfe Menashe,אשכול יהודה ושומרון,3750,אלפי מנשה,2
אלקוש,603,ELQOSH,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,282,270,270,,12,1949,310,1,230611770913,637,255,10004484,2024,Elqosh,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
אלקנה,3560,ELQANA,7,אזור יהודה ושומרון,73,טול כרם,,99,מועצה מקומית,145,1,"4,493","4,450","4,450",,43,1977,190,,203631668682,228,702,15004488,2024,Elqana,אשכול יהודה ושומרון,3560,אלקנה,2
אמונים,772,EMUNIM,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,"1,076","1,016","1,016",,60,1950,310,1,169357628015,31,616,10001821,2024,Emunim,אשכול רשויות שורק דרומי,5533,באר טוביה,3
אמירים,1064,AMIRIM,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,780,776,776,,4,1950,310,1,242565760276,549,209,10004528,2024,Amirim,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
אמנון,1253,AMNUN,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,1,526,512,512,,14,1983,310,6,253903756700,13,253,10004540,2024,Amnun,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
אמציה,23,AMAZYA,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,190,177,173,4,13,1955,320,9,191847604508,360,634,10001813,2024,Amazya,ללא שיוך לאשכול,5550,לכיש,3
אניעם,4012,ANI'AM,2,הצפון,29,גולן,293,71,מועצה אזורית גולן,,1,475,474,474,,1,1978,310,1,269544762605,426,224,10004579,2024,Ani'am,אשכול רשויות גליל מזרחי,5571,גולן,3
אסד (שבט),960,ASAD,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,188000581500,,699,,2024,Asad,ללא שיוך לאשכול,,,4
אספר,3754,ASFAR,7,אזור יהודה ושומרון,77,חברון,,76,מועצה אזורית גוש עציון,,1,"1,513","1,511","1,511",,2,1983,370,8,217840610415,927,714,15000586,2024,Asfar,ללא שיוך לאשכול,5576,גוש עציון,3
אעבלין,529,I'BILLIN,2,הצפון,24,עכו,241,99,מועצה מקומית,241,2,"13,634","13,625",9,"13,616",9,,270,,217653747993,87,261,10004497,2024,I'billin,אשכול רשויות המפרץ,529,אעבלין,2
אעצם (שבט),963,A'SAM,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,191000561000,,699,,2024,A'sam,ללא שיוך לאשכול,,,4
אפיניש (שבט),959,AFEINISH,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,,460,,199000580000,,699,,2024,Afaynish,ללא שיוך לאשכול,,,4
אפיק,4301,AFIQ,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,402,386,386,,16,1967,330,15,265987742739,339,224,10004579,2024,Afiq,אשכול רשויות גליל מזרחי,5571,גולן,3
